#REF_BACEN;NU_ORDEM;NU_INDICE;GT_GEOMETRIA
513320066;1;0;POLYGON ((-53.156490315699997 -25.565016953880001 0,-53.155368076210003 -25.56489182472 0,-53.154290943710002 -25.56476366535 0,-53.152963626979997 -25.56467378332 0,-53.153280290150001 -25.564248647109999 0,-53.153336929760002 -25.563791352380001 0,-53.153874544019999 -25.563336216149999 0,-53.154329518170002 -25.562948154619999 0,-53.155086497280003 -25.562865546640001 0,-53.157279769790001 -25.563193018530001 0,-53.156490315699997 -25.565016953880001 0))
513320066;1;1;POLYGON ((-53.15251863348 -25.56420942379 0,-53.15230706114 -25.564463640869899 0,-53.151744830890003 -25.564540261699999 0,-53.151283908899998 -25.564363258259998 0,-53.151178349570003 -25.562809485100001 0,-53.151270143929999 -25.562067208039998 0,-53.151953723870001 -25.562388728479998 0,-53.15196349024 -25.562388728070001 0,-53.152603480910003 -25.562672200200002 0,-53.15251863348 -25.56420942379 0))
513320066;1;2;POLYGON ((-53.151267772600001 -25.599136101269998 0,-53.150872752269997 -25.599757039199901 0,-53.150584257609999 -25.600589665609998 0,-53.150445953869998 -25.601276413379999 0,-53.149585427790001 -25.60195629016 0,-53.148807390959902 -25.602346626519999 0,-53.148382130130003 -25.601029894229999 0,-53.14745360373 -25.59920071058 0,-53.148226098069998 -25.598428049879999 0,-53.148227178649996 -25.59841042032 0,-53.148167844690001 -25.597555972289999 0,-53.151554305140003 -25.598490291859999 0,-53.151267772600001 -25.599136101269998 0))
513320066;1;3;POLYGON ((-53.152958954070002 -25.598601823620001 0,-53.153105509379998 -25.59878141259 0,-53.153590839640003 -25.59924194333 0,-53.154215819660003 -25.599695003440001 0,-53.152282117150001 -25.600538077820001 0,-53.152242835609897 -25.600760866969999 0,-53.152615679569998 -25.601518402069999 0,-53.153150628420001 -25.60263230584 0,-53.15354632519 -25.603468575600001 0,-53.153908575289996 -25.60418282993 0,-53.154080737789897 -25.604566003559999 0,-53.153651113670001 -25.604655368 0,-53.153234167299999 -25.60455875781 0,-53.152653275119903 -25.6041490093899 0,-53.15132085103 -25.601995243849998 0,-53.151353158120003 -25.601208604770001 0,-53.151878342590003 -25.60040942214 0,-53.151962654190001 -25.5999302718199 0,-53.151921568100001 -25.599840446 0,-53.151902571409998 -25.599827453029999 0,-53.151610029750003 -25.599766289089999 0,-53.151590997379998 -25.599618416559998 0,-53.151695057940003 -25.599441484690001 0,-53.15202337425 -25.599131269970002 0,-53.152958954070002 -25.598601823620001 0))
513320069;1;0;POLYGON ((-53.39153672026 -25.577142606479999 0,-53.391884064819997 -25.576302338990001 0,-53.392222398299999 -25.57569309218 0,-53.392510669369997 -25.575336600429999 0,-53.394802639269997 -25.576239674229999 0,-53.394850013499997 -25.576764241909999 0,-53.394157434659903 -25.577422983040002 0,-53.39371987997 -25.578018187199898 0,-53.39153672026 -25.577142606479999 0))
513320070;1;0;POLYGON ((-53.028293 -27.127543 0,-53.027774 -27.127736 0,-53.027181 -27.127851 0,-53.027091 -27.127497 0,-53.026905 -27.126945 0,-53.026658 -27.126039 0,-53.027198 -27.125737 0,-53.028604999999899 -27.127351999999899 0,-53.028293 -27.127543 0))
513320071;1;0;POLYGON ((-46.359011 -13.851526 0,-46.363679 -13.849658 0,-46.36432 -13.851043 0,-46.354443 -13.854612999999899 0,-46.353097 -13.852969 0,-46.359011 -13.851526 0))
513320072;1;0;POLYGON ((-52.845636 -29.379285 0,-52.84553 -29.379102 0,-52.845724 -29.378932 0,-52.845635 -29.378674 0,-52.845337 -29.378951 0,-52.845323 -29.379452 0,-52.844985 -29.379795 0,-52.84479 -29.379862 0,-52.844655 -29.379859 0,-52.844635 -29.379808 0,-52.84466 -29.37974 0,-52.844559 -29.379551 0,-52.844445 -29.379349 0,-52.844416 -29.379194 0,-52.844594 -29.378954 0,-52.845028 -29.378615 0,-52.845098 -29.378529 0,-52.845646 -29.378036 0,-52.845826 -29.377753 0,-52.846018 -29.377495 0,-52.846481 -29.377147 0,-52.847195 -29.37805 0,-52.845636 -29.379285 0))
513320075;1;0;POLYGON ((-54.094115 -24.082763 0,-54.094286 -24.082498 0,-54.094278 -24.082284 0,-54.094337 -24.082102 0,-54.094494 -24.081952 0,-54.094487 -24.081798 0,-54.094368 -24.081839 0,-54.094297 -24.081769 0,-54.094274 -24.081623 0,-54.094096 -24.081643 0,-54.09401 -24.08162 0,-54.09377 -24.08097 0,-54.093861 -24.080638 0,-54.094207 -24.080218 0,-54.094357 -24.07994 0,-54.094983 -24.078814 0,-54.099825 -24.079148 0,-54.099704 -24.081551 0,-54.0985 -24.08117 0,-54.097579 -24.081038 0,-54.097135 -24.081159 0,-54.096164 -24.08121 0,-54.095313 -24.081322 0,-54.094931 -24.081414 0,-54.094305 -24.081619 0,-54.094331 -24.081772 0,-54.095089 -24.081531 0,-54.095507 -24.081432 0,-54.095789 -24.081415 0,-54.096407 -24.08138 0,-54.096543 -24.081385 0,-54.09713 -24.08145 0,-54.097515 -24.081459 0,-54.098379 -24.081624 0,-54.098764 -24.081723 0,-54.098946 -24.081964 0,-54.09917 -24.081989 0,-54.09942 -24.082057 0,-54.099735 -24.082279 0,-54.099686 -24.083767 0,-54.094115 -24.082763 0))
513320076;1;0;POLYGON ((-54.296547174449998 -25.26902188107 254.47,-54.296568632129997 -25.268764771680001 252.98,-54.296214580540003 -25.268643493470002 252.82,-54.296107292179997 -25.268677451379901 252.81,-54.296048283579999 -25.2688811986399 252.81,-54.296000003810001 -25.269550651509899 256.89,-54.293961524959897 -25.269506991650001 259.47,-54.294176101680002 -25.2645587727399 255.43,-54.296396970750003 -25.264636393419998 246.45,-54.296552538870003 -25.265126372800001 243.57,-54.296751022339997 -25.265334977279998 241.49,-54.297008514399998 -25.265339828550001 240.14,-54.297019243240001 -25.26521854692 241.66,-54.297062158579998 -25.264801337200002 243.43,-54.297147989270002 -25.264655798580002 244.71,-54.297373294830003 -25.264694608900001 242.82,-54.297271370890002 -25.269545800420001 255.75,-54.296525716780003 -25.269516693850001 256.78,-54.296418428419997 -25.269342054269998 255.82,-54.29638624191 -25.26952639604 256.78,-54.296171665190002 -25.26952639604 257.11,-54.296182394029998 -25.26925473439 256.08,-54.296396970750003 -25.269274138819998 255.82,-54.296547174449998 -25.26902188107 254.47))
513320076;1;1;POLYGON ((-54.330101986419997 -25.256988661169999 263.06,-54.33005043771 -25.258397094159999 264.95,-54.32676913217 -25.259051064840001 273.53,-54.326831870710002 -25.258224978080001 273.69,-54.326839162970003 -25.25596804021 269.44,-54.325124770400002 -25.255842731449999 267.59,-54.325160980219998 -25.25293819294 262.26,-54.325464572759998 -25.253024197910001 262.14,-54.325983203019902 -25.25334949246 264.86,-54.326729360039998 -25.253988821459998 266.23,-54.327450748529998 -25.254655096720001 265.55,-54.328262954949999 -25.25537246239 264.65,-54.328759247439997 -25.255868013050002 264.26,-54.329407503829998 -25.256661557009998 264.6,-54.32960037142 -25.256944996800001 264.35,-54.329806775789997 -25.257105554260001 263.66,-54.330101986419997 -25.256988661169999 263.06))
513320077;1;0;POLYGON ((-53.060260891250003 -25.9041785860699 0,-53.060525826689897 -25.906004273520001 0,-53.060144714380002 -25.906497598360001 0,-53.059191923930001 -25.906426527850002 0,-53.059098969129998 -25.906338733049999 0,-53.058857285229998 -25.9064641535 0,-53.058762181349998 -25.906265570230001 0,-53.058699263969899 -25.906066986620001 0,-53.058824754710002 -25.905705838069998 0,-53.058866587060002 -25.905079804900002 0,-53.058759692240002 -25.904625921779999 0,-53.060260891250003 -25.9041785860699 0))
513320077;1;1;POLYGON ((-53.06047931701 -25.904116206419999 0,-53.06043178873 -25.90382408692 0,-53.060519939099997 -25.903070543209999 0,-53.061453433330001 -25.902726212680001 0,-53.0619906632 -25.902612677219999 0,-53.062311071949999 -25.902689889089899 0,-53.062561460600001 -25.902635277960002 0,-53.062683116450003 -25.902688894779999 0,-53.062774135799998 -25.902859835680001 0,-53.062895465199901 -25.90282612499 0,-53.062959041040003 -25.902740930429999 0,-53.063222504979997 -25.90282081878 0,-53.063272479209999 -25.903098623609999 0,-53.06323016148 -25.903311765910001 0,-53.063106971640003 -25.903567991309998 0,-53.062966426080003 -25.90382802805 0,-53.062898513759997 -25.904001129099999 0,-53.062913004670001 -25.904439517579998 0,-53.062396763700001 -25.90439066523 0,-53.062275390019998 -25.9040271123 0,-53.061117535869997 -25.903974950479999 0,-53.06047931701 -25.904116206419999 0))
