band5,band6,band7,band8,class
255,226,199,164,cloud
255,227,201,167,cloud
255,231,206,171,cloud
255,244,216,180,cloud
255,255,224,187,cloud
255,252,224,189,cloud
255,255,226,194,cloud
255,255,230,195,cloud
255,255,225,189,cloud
255,255,221,187,cloud
255,251,222,186,cloud
255,237,216,181,cloud
255,230,209,177,cloud
255,224,202,171,cloud
229,210,190,161,cloud
221,206,188,160,cloud
222,205,188,159,cloud
221,202,184,156,cloud
236,209,186,160,cloud
236,211,188,158,cloud
216,197,175,145,cloud
195,180,164,133,cloud
179,167,157,126,cloud
160,147,140,111,cloud
142,126,115,94,cloud
129,110,92,73,cloud
94,78,63,45,cloud
71,60,48,34,cloud
70,58,46,31,cloud
186,165,144,118,cloud
198,173,150,124,cloud
208,183,156,131,cloud
219,197,170,141,cloud
236,210,182,151,cloud
255,218,192,158,cloud
255,224,196,162,cloud
255,224,196,163,cloud
255,225,198,166,cloud
255,231,203,171,cloud
255,242,212,177,cloud
255,255,223,186,cloud
255,255,232,195,cloud
255,255,236,199,cloud
255,255,236,198,cloud
255,255,233,196,cloud
255,255,228,191,cloud
255,255,224,188,cloud
255,249,219,185,cloud
255,245,218,183,cloud
255,241,217,180,cloud
250,230,210,175,cloud
247,225,208,174,cloud
246,221,201,172,cloud
245,219,198,170,cloud
255,222,200,167,cloud
255,222,198,164,cloud
229,213,192,158,cloud
218,197,183,152,cloud
207,188,171,143,cloud
194,172,151,128,cloud
165,149,129,105,cloud
138,123,106,80,cloud
105,94,80,54,cloud
79,68,57,36,cloud
73,61,52,35,cloud
183,161,137,112,cloud
193,172,146,121,cloud
202,179,152,128,cloud
213,190,165,137,cloud
221,201,174,146,cloud
248,212,185,153,cloud
255,217,188,158,cloud
255,219,191,161,cloud
255,225,198,168,cloud
255,231,206,172,cloud
255,236,210,176,cloud
255,251,220,185,cloud
255,255,232,195,cloud
255,255,242,203,cloud
255,255,240,202,cloud
255,255,237,200,cloud
255,255,230,192,cloud
255,255,224,188,cloud
255,255,222,186,cloud
255,255,223,187,cloud
