band5,band6,band7,band8,class
44,36,26,34,free
45,36,27,33,free
45,37,28,27,free
46,37,27,26,free
46,38,29,28,free
45,35,25,30,free
45,36,26,29,free
45,37,27,37,free
46,37,26,37,free
44,37,26,27,free
42,36,25,31,free
45,36,26,33,free
46,38,28,32,free
44,35,25,30,free
44,36,26,28,free
45,37,27,35,free
45,37,27,30,free
45,38,26,37,free
44,34,24,34,free
43,34,24,33,free
44,36,28,28,free
40,33,17,93,water
40,33,17,91,water
40,32,17,91,water
40,33,17,98,water
39,32,16,94,water
40,30,15,93,water
40,31,15,90,water
39,31,15,89,water
40,32,16,97,water
40,33,17,93,water
40,32,17,90,water
41,32,17,93,water
41,32,17,93,water
40,32,17,93,water
40,32,17,96,water
41,32,15,95,water
41,32,17,91,water
41,32,17,94,water
40,32,18,98,water
40,31,16,90,water
40,31,16,83,water
40,31,16,82,water
41,32,17,88,water
40,32,17,88,water
40,32,16,87,water
41,32,17,90,water
40,32,16,84,water
40,31,16,81,water
39,31,17,86,water
41,33,18,91,water
41,32,16,80,water
40,32,16,75,water
40,31,17,75,water
40,31,17,77,water
41,32,17,86,water
41,32,17,90,water
41,31,17,82,water
41,32,18,66,water
42,34,22,42,water
44,36,28,22,water
45,37,28,17,water
46,37,28,16,water
46,37,29,16,water
47,38,30,15,water
47,38,30,15,water
47,38,30,15,water
47,39,30,15,water
46,39,30,14,water
48,39,29,14,water
48,39,30,15,water
47,40,31,15,water
47,40,31,15,water
48,41,31,16,water
49,40,33,16,water
49,40,32,16,water
49,40,32,15,water
49,40,32,15,water
48,40,32,15,water
49,41,33,16,water
50,40,33,16,water
49,40,32,15,water
49,41,33,16,water
50,40,33,16,water
49,41,32,15,water
49,40,32,15,water
49,40,32,15,water
48,40,32,15,water
49,40,33,15,water
49,40,33,15,water
49,40,33,15,water
50,39,32,16,water
50,40,33,15,water
49,40,32,16,water
49,40,33,15,water
49,40,32,14,water
49,40,32,15,water
48,41,32,15,water
49,40,32,15,water
49,39,32,16,water
48,39,32,15,water
48,39,32,14,water
49,40,32,14,water
49,40,32,15,water
48,40,31,15,water
50,40,32,15,water
50,40,32,15,water
49,40,33,15,water
48,40,33,15,water
49,40,32,15,water
49,40,32,15,water
51,40,31,15,water
49,40,33,16,water
50,40,32,16,water
49,40,31,15,water
49,40,32,16,water
49,41,34,15,water
50,40,33,15,water
50,40,33,15,water
50,40,33,16,water
49,41,33,16,water
